Research,X2,Type,Hashtag/site name,Web address,Place,Start Date,Affiliation,Bios,Date Checked,Number of members,X12,Interviewed,Still exists?,X15,X16,X17
Marcia,NA,Instagram #,#blacklivesmatterdc,n/a,Washington DC,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatterdefundplannedparenthood,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmattereverywhere,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatterga,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmattergreateratlanta,n/a,"Greater Atlanta, GA",unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatterjewelry,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatterla,n/a,"Los Angeles, CA",unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatterldn,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatterlondon,n/a,"London, Uk",unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatterlondonsupportsyou,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmattermarch,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmattermemphis,n/a,"Memphis, TN",unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,"#blacklivesmattermiami
",n/a,"Miami, FL",unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatternyc,n/a,"New York City, NY",unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,"#blacklivesmatterokc
",n/a,Oklahoma City,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatterprotest,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatterrally,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatters,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmattersometimes2,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatterto,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,"#blacklivesmattertome
",n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmattertoo,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmattertoronto,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karen,NA,Instagram #,#blacklivesmatteruk,n/a,UK,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmatteruk,n/a,United Kingdom,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmattet,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmattter,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmedia,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesmetter,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivesonfilm,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,"#blacklivesstillmatter
",n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Instagram #,#blacklivestravel,n/a,unclear,unclear,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,#BlackOut for #BlackLivesThatMatter Economic Protest Rallies,groups/1204563309581957/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",496 Members,NA,NA,NA,NA,NA,NA
Karen,NA,Twitter,#BLM Irish,@blmirish,(Northern?) Ireland,May 2015,not a chapter,Irish Statement in Support of #BlackLivesMatter ||| #BlackIrish #BLMIreland #BLMUK #BLMCanada #BLMAus #EndDP #SayHerName #Derry2Ferguson anti- #IrishSlaveryMyth,4/23/2017,"433 Followers
5,014 Likes",NA,NA,NA,@BLMBelfast,NA,NA
Karen,NA,Twitter,#BLM LDN,@blmldnmovement,"London, UK",July 2016,unclear,If you are neutral in situations of injustice you are on the side of the oppressor - Bishop Desmond Tutu #BlackLivesMatter,4/24/2017,"1,225 Followers
496 Likes",NA,NA,NA,"@BLMLouisville, @BLMLondon, @BlackMattersUK, @BlackLivesUK, @blmirish",NA,NA
Marcia,NA,Facebook Groups,All Black Lives Matter (Broward County Chapter),groups/577844115728377/?ref=br_rs,"Broward Co, FL",unclear,unclear,N/A,"April 9, 2017",21 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,ANYTHING GOES BLACK LIVES MATTER,groups/905163016282825/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",13 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Asheville Black Lives Matter Community,groups/350714075130742/?ref=br_rs,"Asheville, NC",unclear,unclear- meet-up group,"This is a central place for folks who attended the Asheville Black Lives Matter Community Meet-Up and other folks interested in the BLM Movement in Asheville to receive/disseminate information about ways to support communities in the city that are being subjected to police brutality and harassment, unfair housing practices, and other forms of systematic racism.","April 9, 2017","2,988 Members",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,B. L. M. Black Lives Matter,groups/1133720376645269/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",23 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Belizean Lives Matter/ Black Lives Matter,groups/1020989641273856/?ref=br_rs,Belize,unclear,unclear,"Support Belizeans and black Americans that have been taken for granted and unfairly accused, judged or killed.... we as a people must learn to unite for something more than gossip and clubbing, we must unite for justice and equality around the world for Belizeans and Black People!!
Let our journey start here and now so that we may attain our just objective as a people.","April 9, 2017",157 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,BLACK AND BLUE LIVES MATTER,groups/1763708057219695/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",12 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black and White lives matter!,groups/1102000336485351/?ref=br_rs,unclear,unclear,unclear,stop racism! one people just different colours.,"April 14, 2017",27 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Live's Matter ( All Live's Matter),groups/602433906601068/?ref=br_rs,unclear,unclear,unclear,This Is a Group for People 2 come together & come up with ideals to Let the Government know that we will not tolerate the Police Gunning down Black Children & Men and to let them know we will not tolerate them Killing People Period. We are tire of the Senseless Killing. This is a Group to post how to get Our Voices Heard on How to Protest Correctly......In This Group We will not Cuss each Other Out & we will Respect One Another Its okay to Agree to Disagree but anyone caught Disrespecting anyone U will be deleted.... Lets Take Our World Back & Make Our Voices Be Heard.,"April 14, 2017",140 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,BLACK LIVES MATTER,groups/1639991656214998/?ref=br_rs,unclear,unclear,unclear,"This group was formed to enable us to fight against injustices, where ever it might be. For far too long we have seen and witnessed the killings and daily police brutality against our people globally and especially in the US, it has to stop and only we can make that change, so join us so collectively we can make that change....thank you.","April 14, 2017",NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/blacklives/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017","17,569 Members",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/679881175479049/?ref=br_rs,unclear,unclear,unclear,"Blacklivesmatter is a group created as a reminder that black lives matter TOO.

This is a safe space for black people, people of color, and allies of the movement.

In addition to exposing the all too common injustices that you see... 
PLEASE feel free to share positive and uplifting posts that you feel deserves recognition. Anything from academics, athleticism, and musical talents, to black-owned businesses will be acceptable.","April 14, 2017","3,044 Members",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,BLACK LIVES MATTER,groups/943992752350214/?ref=br_rs,unclear,unclear,popular videos only,N/A,"April 14, 2017","4,711 Members",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/966613940051161/?ref=br_rs,unclear,unclear,unclear,"B.ecome L.eaders A.nd C.aution our K.ids Life.. BLACKLIFE live it...Lets show the world that all lives matter. Feel free to post positive and motivational pictures and post. Feel free to be human. Post your thoughts,..research,..opinions,..solutions,&.experiences,..about whats going on in our society. Feel free to post anything that will help awaken all people.","April 14, 2017","1,741 Members",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/467338846740106/?ref=br_rs,unclear,unclear,unclear,A group for people tired of the status quo and ready to make a difference.,"April 14, 2017",969 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/1667674736799855/?ref=br_rs,unclear,unclear,unclear,"The question is: Does black lives really matter?
Too many times we are ready to march and riot when a white person kills or attacks a black person, but we are silent when we are killing each other. This is place we can start to have real dialog on the value of black lives and work on solutions that can make a difference in our community.","April 14, 2017","1,242 Members",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/1140937722601696/?ref=br_rs,unclear,unclear,unclear,"WELCOME TO THE GROUP ""BLACK LIVES MATTER"" HERE WE CAN POST, SHARE, AND COMMENT AMONGST OURSELVES CONCERNING THE GROWING PROBLEM OF SENSELESS VIOLENCE AND DEATH TOWARD BLACKS THE WORLD OVER BUT ESPECIALLY THE UNITED STATES. OUR POSTS SHOULD BE MOSTLY INFORMATIVE. THEREFORE WE ASK THAT YOU REFRAIN FROM EXTREME PROFANITY, NUDITY, AND PROVOCATIVE POSTS. ALSO BE SELECTIVE WHEN ADDING MEMBERS NOT TO BE CONTRARY TO THE CAUSE...TOGETHER IN AWARENESS, WE CAN MAKE A DIFFERENCE. PEACE AND LOVE. ~The Administration Panel","April 14, 2017","1,006 Members",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/yourblacklifematters/?ref=br_rs,unclear,unclear,unclear,"enough is way too much! We cannot tolerate the murder of our fellow citizens by the police. If you are not outraged, this is not for you and you should seek mental health professionals.","April 14, 2017",633 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/1805815166308816/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",65 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/679881175479049/?ref=br_rs,unclear,unclear,unclear,"Blacklivesmatter is a group created as a reminder that black lives matter TOO.

This is a safe space for black people, people of color, and allies of the movement.

In addition to exposing the all too common injustices that you see... 
PLEASE feel free to share positive and uplifting posts that you feel deserves recognition. Anything from academics, athleticism, and musical talents, to black-owned businesses will be acceptable.","April 14, 2017","3,044 Members",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/1140937722601696/?ref=br_rs,unclear,unclear,unclear,"WELCOME TO THE GROUP ""BLACK LIVES MATTER"" HERE WE CAN POST, SHARE, AND COMMENT AMONGST OURSELVES CONCERNING THE GROWING PROBLEM OF SENSELESS VIOLENCE AND DEATH TOWARD BLACKS THE WORLD OVER BUT ESPECIALLY THE UNITED STATES. OUR POSTS SHOULD BE MOSTLY INFORMATIVE. THEREFORE WE ASK THAT YOU REFRAIN FROM EXTREME PROFANITY, NUDITY, AND PROVOCATIVE POSTS. ALSO BE SELECTIVE WHEN ADDING MEMBERS NOT TO BE CONTRARY TO THE CAUSE...TOGETHER IN AWARENESS, WE CAN MAKE A DIFFERENCE. PEACE AND LOVE. ~The Administration Panel","April 14, 2017","1,006 Members",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black lives Matter,groups/976880332369778/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",161 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/196404873803046/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",266 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black lives matter,groups/1679991455600143/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",103 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,BLACK LIVES MATTER,groups/1693138374255832/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",104 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,BLACK LIVES MATTER,groups/1621142734843351/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",54 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/135511076877772/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",67 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/1805815166308816/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",65 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/883035431728725/?ref=br_rs,unclear,unclear,unclear,"Humans fighting for the basic human rights of every person no matter skin color, sex, gender, economic background, or orientation.
A protest group fighting for the memory of Mike Brown and every other POC that has been murdered/raped/beaten/tread on in America.
Youth attempting to dismantle the racist, bigoted, white, patriarchy that rules and controls America while simultaneously educating those who are unaware.","April 14, 2017",99 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,black lives matter,groups/1618106668449964/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",21 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/911165645696555/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",56 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,BLACK LIVES MATTER,groups/619600651535640/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",17 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,BLACK LIVES MATTER,groups/653147068182375/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",33 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,BLACK LIVES MATTER,groups/788225254590543/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",14 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,black lives matter,groups/212755139120131/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",17 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/815517198547594/?ref=br_rs,unclear,unclear,unclear,This group is for strong African American Kings and Queens and the purpose of this group is to unify us as whole and help each other build up a strong foundation to stand up for what's truly right in this world. The time is now!,"April 14, 2017",40 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,black lives matter,groups/1887977004763073/?ref=br_rs,unclear,unclear,unclear,"Group is to stop the black on black crime, robbing , community ,and police brutality.....","April 14, 2017",30 Members,NA,NA,NA,NA,NA,NA
